class,count,scheme
F.CCR,53,sp10.1
M.CCR,48,sp10.1
F.marm,87,sp10.1
M.marm,97,sp10.1
F.pall,18,sp10.1
M.pall,23,sp10.1
F.CCR,50,sp10.2
M.CCR,40,sp10.2
F.marm,90,sp10.2
M.marm,105,sp10.2
F.pall,18,sp10.2
M.pall,23,sp10.2
F.CCR,50,sp10.3
M.CCR,40,sp10.3
F.marm,74,sp10.3
M.marm,82,sp10.3
F.pall,18,sp10.3
M.pall,23,sp10.3
F.SJ,16,sp10.3
M.SJ,23,sp10.3
F.marm,87,sp14.1
M.marm,100,sp14.1
F.pall,54,sp14.1
M.pall,51,sp14.1
F.Baja,0,sp14.2
M.Baja,5,sp14.2
F.Foothill,13,sp14.2
M.Foothill,15,sp14.2
F.marm,53,sp14.2
M.marm,50,sp14.2
F.pall,36,sp14.2
M.pall,31,sp14.2
F.marm,74,morph
M.marm,81,morph
F.pall,18,morph
M.pall,23,morph
